20:24:15.363 [sbt-bg-threads-1] INFO  VmAllocationPolicy - 0.00: VmAllocationPolicySimple: Vm 1 has been allocated to Host 0/DC 2
20:24:15.363 [sbt-bg-threads-1] INFO  VmAllocationPolicy - 0.00: VmAllocationPolicySimple: Vm 2 has been allocated to Host 0/DC 3
20:24:15.363 [sbt-bg-threads-1] INFO  VmAllocationPolicy - 0.00: VmAllocationPolicySimple: Vm 3 has been allocated to Host 1/DC 3
20:24:15.364 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple4: Sending Cloudlet 0 to Vm 0 in Host 0/DC 1.
20:24:15.364 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple4: Sending Cloudlet 1 to Vm 4 in Host 1/DC 1.
20:24:15.364 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple4: Sending Cloudlet 2 to Vm 5 in Host 0/DC 1.
20:24:15.364 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple4: Sending Cloudlet 3 to Vm 6 in Host 1/DC 1.
20:24:15.364 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple4: Sending Cloudlet 4 to Vm 7 in Host 0/DC 1.
20:24:15.364 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple4: Sending Cloudlet 5 to Vm 8 in Host 1/DC 1.
20:24:15.364 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple4: Sending Cloudlet 6 to Vm 9 in Host 0/DC 1.
20:24:15.365 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple4: Sending Cloudlet 7 to Vm 1 in Host 0/DC 2.
20:24:15.365 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple4: Sending Cloudlet 8 to Vm 2 in Host 0/DC 3.
20:24:15.365 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple4: Sending Cloudlet 9 to Vm 3 in Host 1/DC 3.
20:24:15.365 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple4: Sending Cloudlet 10 to Vm 0 in Host 0/DC 1.
20:24:15.365 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple4: Sending Cloudlet 11 to Vm 4 in Host 1/DC 1.
20:24:15.365 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple4: Sending Cloudlet 12 to Vm 5 in Host 0/DC 1.
20:24:15.365 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple4: Sending Cloudlet 13 to Vm 6 in Host 1/DC 1.
20:24:15.365 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple4: Sending Cloudlet 14 to Vm 7 in Host 0/DC 1.
20:24:15.366 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple4: Sending Cloudlet 15 to Vm 8 in Host 1/DC 1.
20:24:15.366 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple4: Sending Cloudlet 16 to Vm 9 in Host 0/DC 1.
20:24:15.366 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple4: Sending Cloudlet 17 to Vm 1 in Host 0/DC 2.
20:24:15.366 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple4: Sending Cloudlet 18 to Vm 2 in Host 0/DC 3.
20:24:15.366 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple4: Sending Cloudlet 19 to Vm 3 in Host 1/DC 3.
20:24:15.366 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple4: Sending Cloudlet 20 to Vm 0 in Host 0/DC 1.
20:24:15.367 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple4: Sending Cloudlet 21 to Vm 4 in Host 1/DC 1.
20:24:15.367 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple4: Sending Cloudlet 22 to Vm 5 in Host 0/DC 1.
20:24:15.367 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple4: Sending Cloudlet 23 to Vm 6 in Host 1/DC 1.
20:24:15.367 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple4: Sending Cloudlet 24 to Vm 7 in Host 0/DC 1.
20:24:15.367 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple4: Sending Cloudlet 25 to Vm 8 in Host 1/DC 1.
20:24:15.367 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple4: Sending Cloudlet 26 to Vm 9 in Host 0/DC 1.
20:24:15.367 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple4: Sending Cloudlet 27 to Vm 1 in Host 0/DC 2.
20:24:15.367 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple4: Sending Cloudlet 28 to Vm 2 in Host 0/DC 3.
20:24:15.367 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple4: Sending Cloudlet 29 to Vm 3 in Host 1/DC 3.
20:24:15.368 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple4: Sending Cloudlet 30 to Vm 0 in Host 0/DC 1.
20:24:15.368 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple4: Sending Cloudlet 31 to Vm 4 in Host 1/DC 1.
20:24:15.368 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple4: Sending Cloudlet 32 to Vm 5 in Host 0/DC 1.
20:24:15.368 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple4: Sending Cloudlet 33 to Vm 6 in Host 1/DC 1.
20:24:15.368 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple4: Sending Cloudlet 34 to Vm 7 in Host 0/DC 1.
20:24:15.368 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple4: Sending Cloudlet 35 to Vm 8 in Host 1/DC 1.
20:24:15.368 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple4: Sending Cloudlet 36 to Vm 9 in Host 0/DC 1.
20:24:15.368 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple4: Sending Cloudlet 37 to Vm 1 in Host 0/DC 2.
20:24:15.368 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple4: Sending Cloudlet 38 to Vm 2 in Host 0/DC 3.
20:24:15.369 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple4: Sending Cloudlet 39 to Vm 3 in Host 1/DC 3.
20:24:15.369 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple4: All 40 waiting Cloudlets submitted to some VM.
20:24:15.383 [sbt-bg-threads-1] INFO  DatacenterBroker - 60.11: DatacenterBrokerSimple4: Cloudlet 0 finished in Vm 0 and returned to broker.
20:24:15.383 [sbt-bg-threads-1] INFO  DatacenterBroker - 60.11: DatacenterBrokerSimple4: Cloudlet 2 finished in Vm 5 and returned to broker.
20:24:15.383 [sbt-bg-threads-1] INFO  DatacenterBroker - 60.11: DatacenterBrokerSimple4: Cloudlet 4 finished in Vm 7 and returned to broker.
20:24:15.383 [sbt-bg-threads-1] INFO  DatacenterBroker - 60.11: DatacenterBrokerSimple4: Cloudlet 6 finished in Vm 9 and returned to broker.
20:24:15.383 [sbt-bg-threads-1] INFO  DatacenterBroker - 60.11: DatacenterBrokerSimple4: Cloudlet 1 finished in Vm 4 and returned to broker.
